Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre de licenciés sportifs pour 100 habitants 2022
200068567;CC Les Vals du Dauphiné;25.7
200068625;CC Alpes-Provence-Verdon "Sources de lumière";17
200068641;CA Le Muretain Agglo;26.4
200068658;CA de Chaumont;22.2
200068666;CA du Grand Saint-Dizier Der et Vallées;20
200068674;CA Grand Lac;27.9
200068682;CC Terre d'Eau;21.2
200068757;CA d'Epinal;21.9
200068765;CC du Sisteronais-Buëch;19.5
200068773;CC des Vosges côté Sud Ouest;14.6
200068781;CA Valence Romans Agglo;25.3
200068799;CC Intercom de la Vire au Noireau;18.7
200068807;CC du Bassin Auterivain Haut-Garonnais;27.2
200068815;CC Coeur de Garonne;23.2
200068831;Pays Ségali Communauté;32.6
200068856;CC des Hauts du Perche;14.3
200068864;CC de la Mossig et du Vignoble;24.4
200068872;CC Éguzon - Argenton - Vallée de la Creuse;21.8
200068880;CC Champagne Boischauts;20.3
200068914;CC La Rochefoucauld Porte du Périgord;21.6
200068922;CC du Confluent et des Coteaux de Prayssas;23.2
200068930;CC Fumel Vallée du Lot;19.3
200068948;CC Albret Communauté;23.9
200068955;CC Anjou Loir et Sarthe;25.4
200068963;CC Maine Coeur de Sarthe;27.4
200068989;CA Dinan Agglomération;27.4
200068997;CA Arlysère;23.6
200069003;CC du Barséquanais en Champagne;14.7
200069029;CA des Deux Baies en Montreuillois;24.8
200069037;CA du Pays de Saint-Omer;21.4
200069052;CA Grand Belfort;21.5
200069060;CC des Vosges du Sud;21.9
200069086;CC Leff Armor Communauté;28.1
200069094;CC Isle et Crempse en Périgord;20.7
200069102;CC Randon - Margeride;29.8
200069110;CA du Grand Chambéry;29.3
200069128;CC Mont Lozère;28.9
200069136;CC des Cévennes au Mont Lozère;16.2
200069144;CC des Hautes Terres de l'Aubrac;21.4
200069151;CC Gorges Causses Cévennes;35
200069169;CC Dômes Sancy Artense;18
200069177;CC Mond'Arverne Communauté;31
200069185;CC des Terres d'Apcher-Margeride-Aubrac;28.9
200069193;CC de la Dombes;25.9
200069227;CC Pays Fort Sancerrois Val de Loire;18.5
200069235;CC du Haut Pays du Montreuillois;20.8
200069250;CA Troyes Champagne Métropole;19.2
200069268;CC Aubrac Lot Causses Tarn;41.1
200069300;CA Tarbes-Lourdes-Pyrénées;25.2
200069383;Ouest Aveyron Communauté;24.4
200069391;CA Lamballe Terre et Mer;28.7
200069409;CA Saint-Brieuc Armor Agglomération;30.2
200069417;CC Pays d'Orthe et Arrigans;27.3
200069425;CA Mont-Saint-Michel-Normandie;21.6
200069433;CC de Vezouze en Piémont;11.1
200069441;CC du Pays de Bitche;20.4
200069458;CC des Vallées d'Auge et du Merlerault;18.2
200069482;CC des Campagnes de l'Artois;20.1
200069516;CC Seulles Terre et Mer;28.9
200069524;CC Pré-Bocage Intercom;19.1
200069532;CA Lisieux Normandie;20.5
200069540;CC Norge et Tille;29.4
200069565;CC des Lacs et Montagnes du Haut-Doubs;32.5
200069581;CC Convergence Garonne;22.7
200069599;CC Rurales de l'Entre-Deux-Mers;17.5
200069615;CC Bresse Haute Seille;22.4
200069623;CC Champagnole Nozeroy Jura;26.3
200069631;CC Terres de Chalosse;26.8
200069649;CC Chalosse Tursan;32.7
200069656;CC Coeur Haute Lande;25.6
200069664;CC Meuse Rognon;18.1
200069672;CC du Ternois;16.1
200069698;CC Mâconnais - Tournugeois;20.2
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;15.3
200069730;CC des Quatre Rivières en Bray;14.5
200069748;CC Val de Gâtine;25.3
200069755;CC Mellois en Poitou;23.1
200069763;CC du Haut Poitou;25.3
200069821;CA Fécamp Caux Littoral Agglomération;18.3
200069839;CC de la Côte d'Albâtre;19.7
200069847;CC Plateau de Caux;19.9
200069854;CU du Grand Poitiers;25.8
200069912;CC des Forêts du Perche;17.8
200069953;CC des Portes Euréliennes d'Ile de France;23.6
200069961;CC du Grand Châteaudun;20.5
200069995;CC Médoc Coeur de Presqu'île;19.5
200070035;CC du Civraisien en Poitou;20.4
200070043;CC Vienne et Gartempe;20.5
200070068;CC Bray-Eawy;18.1
200070092;CA du Libournais;21
200070100;CC du Val de Sully;23.3
200070118;CC Val de Saône Centre;25.6
200070126;CC Seine et Aube;16.9
200070142;CC Lyons Andelle;17.2
200070159;CC Coeur de Beauce;23.6
200070167;CC Terres de Perche;19.8
200070183;CC des Terres du Val de Loire;27.9
200070233;CA Terres de Montaigu;32.2
200070282;CC Lavalette Tude Dronne;17.3
200070290;CC Coeur du Pays Haut;16.7
200070308;CA Mâconnais Beaujolais Agglomération;21.2
200070316;CC Entre Arroux, Loire et Somme;19.9
200070324;CC du Territoire de Lunéville à Baccarat;22.5
200070332;CC des Savoir-Faire;13.1
200070340;CC Haute Maurienne Vanoise;29.6
200070365;CC Corbières Salanque Méditerranée;20.1
200070373;CC Loir-Lucé-Bercé;20.7
200070407;CA Agglo Pays d'Issoire;21.3
200070431;CC Saint-Marcellin Vercors Isère Communauté;23.9
200070449;CC Inter-Caux-Vexin;23
200070464;CC Coeur de Maurienne Arvan;28.7
200070506;CC Pays de Nexon Monts de Chalus;23.7
200070514;CA du Grand Cognac;20.5
200070530;CC du Grand Autunois Morvan;22.9
200070548;CC Brionnais Sud Bourgogne;19.3
200070555;CC de la Veyle;22.2
200070563;CC Terres Touloises;24.1
200070571;CC Coeur de Berry;20.2
200070589;CC de Seille et Grand Couronné;23.1
200070647;CA Bergeracoise;20.9
200070662;CC Bretagne Porte de Loire Communauté;27
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;24.1
200070688;CC Couesnon Marches de Bretagne;23.8
200070712;CC Thiers Dore et Montagne;20.5
200070720;CC Médoc Atlantique;27.9
200070738;CC Mad et Moselle;20.3
200070746;CA Sarreguemines Confluences;20.3
200070753;CA Riom Limagne et Volcans;28.3
200070761;CC Ambert Livradois Forez;18.4
200070779;CC Brie des Rivières et Châteaux;23.8
200070787;CC du Plateau de Lannemezan;23.1
200070795;CC du Pays de Trie et du Magnoac;24.2
200070803;CC des Coteaux du Val d'Arros;29
200070811;CC Pyrénées Vallées des Gaves;27.6
200070829;CC Neste Barousse;22.6
200070845;CC Orne Lorraine Confluences;17.6
200070852;CC Usses et Rhône;23.8
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;25.6
200070902;CC Auxonne Pontailler Val de Saône;20.4
200070910;CC Tille et Venelle;21.9
200070928;CC Terre de Picardie;20.1
200070936;CC Ponthieu-Marquenterre;22.3
200070944;CC du Vimeu;21.9
200070951;CC du Territoire Nord Picardie;18.8
200070969;CC Avre Luce Noye;25.9
