Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200067296;CC du Nord Est Béarn;8.9
200067304;CC Serein et Armance;13.7
200067320;CC Serre-Ponçon Val d'Avance;12.3
200067346;CA Pornic Agglo Pays de Retz;7.2
200067361;CC Grand-Figeac;14.8
200067379;CC Côtes de Champagne et Val de Saulx;11.7
200067429;CC Haut Nivernais - Val d'Yonne;19
200067437;CA Provence-Alpes-Agglomération;16.3
200067445;CC Buëch-Dévoluy;16.2
200067452;CC du Guillestrois et du Queyras;15
200067460;CC Loudéac Communauté - Bretagne Centre;14
200067478;CC Comtal Lot et Truyère;11.5
200067486;CC Bouzonvillois-Trois Frontières;13.9
200067502;CA Saint-Avold Synergie;17.3
200067544;CC Creuse Confluence;20.1
200067551;CA Thonon Agglomération;10.1
200067593;CC Marche et Combraille en Aquitaine;22.5
200067627;CC Billom Communauté;9
200067635;CA Clisson Sèvre et Maine Agglo;5.9
200067643;CC Meurthe Mortagne Moselle;9.3
200067650;CC Houve - Pays Boulageois;10.5
200067668;CC de la Cléry, du Betz et de l'Ouanne;13.6
200067676;CC Canaux et Forêts en Gâtinais;13.2
200067684;CA Epernay, Coteaux et Plaine de Champagne;13.3
200067692;CC Tannay-Brinon-Corbigny;17.2
200067700;CC Sud Nivernais;15.1
200067742;CC Serre-Ponçon;13.8
200067759;CC Vallées et Plateau d'Ardenne;17.2
200067767;CC du Royans-Vercors;12.4
200067783;CC de Hanau-La Petite Pierre;9
200067791;CA L'Agglo Foix-Varilhes;15.1
200067817;CC Saône-Beaujolais;9.9
200067825;CA Gap-Tallard-Durance;14.2
200067841;CC de l'Alsace Bossue;11.7
200067866;CC Sèvre et Loire;6.1
200067874;CA de Haguenau;10.7
200067882;CC Bazois Loire Morvan;18.8
200067890;CC Morvan Sommets et Grands Lacs;17.8
200067908;CC Amognes Coeur du Nivernais;14.5
200067916;CC Coeur de Loire;15.2
200067924;CC du Canton d'Erstein;7.4
200067932;CA Golfe du Morbihan - Vannes Agglomération;9.9
200067940;CC Couserans-Pyrénées;23.8
200067957;CC Haut Chemin - Pays de Pange;5.8
200067965;CA de la Région de Compiègne et de la Basse Automne;15
200067973;CC Thelloise;7.3
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;14.4
200067999;CA du Beauvaisis;17.6
