Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200069995;CC Médoc Coeur de Presqu'île;49
200070035;CC du Civraisien en Poitou;51.9
200070043;CC Vienne et Gartempe;58.3
200070068;CC Bray-Eawy;56.2
200070092;CA du Libournais;49.4
200070100;CC du Val de Sully;45.9
200070118;CC Val de Saône Centre;39.7
200070126;CC Seine et Aube;51.2
200070142;CC Lyons Andelle;47
200070159;CC Coeur de Beauce;49.9
200070167;CC Terres de Perche;48.9
200070183;CC des Terres du Val de Loire;40.8
200070233;CA Terres de Montaigu;44.3
200070282;CC Lavalette Tude Dronne;55.3
200070290;CC Coeur du Pays Haut;44
200070308;CA Mâconnais Beaujolais Agglomération;39.5
200070316;CC Entre Arroux, Loire et Somme;52.9
200070324;CC du Territoire de Lunéville à Baccarat;44.4
200070332;CC des Savoir-Faire;64.6
200070340;CC Haute Maurienne Vanoise;54.7
200070365;CC Corbières Salanque Méditerranée;58.3
200070373;CC Loir-Lucé-Bercé;45.7
200070407;CA Agglo Pays d'Issoire;53.9
200070431;CC Saint-Marcellin Vercors Isère Communauté;47.1
200070449;CC Inter-Caux-Vexin;47.1
200070464;CC Coeur de Maurienne Arvan;56.2
200070506;CC Pays de Nexon Monts de Chalus;57.1
200070514;CA du Grand Cognac;45.4
200070530;CC du Grand Autunois Morvan;53.3
200070548;CC Brionnais Sud Bourgogne;54.4
200070555;CC de la Veyle;42
200070563;CC Terres Touloises;47.1
200070571;CC Coeur de Berry;50.3
200070589;CC de Seille et Grand Couronné;54.7
200070647;CA Bergeracoise;45.3
200070662;CC Bretagne Porte de Loire Communauté;43.1
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;48.1
200070688;CC Couesnon Marches de Bretagne;56.1
200070712;CC Thiers Dore et Montagne;49.5
200070720;CC Médoc Atlantique;59.3
200070738;CC Mad et Moselle;49.1
200070746;CA Sarreguemines Confluences;43
200070753;CA Riom Limagne et Volcans;47
200070761;CC Ambert Livradois Forez;58.7
200070779;CC Brie des Rivières et Châteaux;48
200070787;CC du Plateau de Lannemezan;63.7
200070795;CC du Pays de Trie et du Magnoac;69.1
200070803;CC des Coteaux du Val d'Arros;66.4
200070811;CC Pyrénées Vallées des Gaves;67
200070829;CC Neste Barousse;66.1
200070845;CC Orne Lorraine Confluences;36.9
200070852;CC Usses et Rhône;54.6
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;51.3
200070902;CC Auxonne Pontailler Val de Saône;51.1
200070910;CC Tille et Venelle;65
200070928;CC Terre de Picardie;55.8
200070936;CC Ponthieu-Marquenterre;63.8
200070944;CC du Vimeu;53
200070951;CC du Territoire Nord Picardie;53.9
200070969;CC Avre Luce Noye;59.1
