Observatoire des territoires - ANCT; ; 
Référentiel géographique : Bassins de vie (2012); ; 
Code;Libellé;Distance moyenne entre le domicile et le travail selon la CSP
46201;Montcuq;29.5
46225;Prayssac;27.2
46231;Puy-l'Évêque;20.4
46251;Saint-Céré;16.2
46309;Souillac;27.2
46330;Vayrac;26.2
47001;Agen;23.2
47004;Aiguillon;20.9
47052;Casteljaloux;26.1
47057;Castillonnès;17.8
47086;Duras;19.5
47106;Fumel;22.6
47157;Marmande;23.9
47168;Miramont-de-Guyenne;20
47175;Monflanquin;21.3
47195;Nérac;21.3
47310;Tonneins;18.7
47323;Villeneuve-sur-Lot;20.8
47324;Villeréal;18.2
48034;La Canourgue;23.3
48061;Florac Trois Rivières;24.8
48080;Langogne;17.6
48092;Marvejols;15.6
48095;Mende;14.2
48140;Saint-Chély-d'Apcher;20.3
49007;Angers;22.1
49018;Baugé-en-Anjou;23.9
49021;Beaufort-en-Vallée;26.3
49023;Beaupréau;21.3
49050;Brissac-Quincé;25.9
49054;Candé;26.1
49063;Chalonnes-sur-Loire;25
49080;Les Hauts-d'Anjou;23.4
49092;Chemillé-en-Anjou;24.1
49099;Cholet;16.4
49125;Doué-la-Fontaine;20
49127;Durtal;26.1
49176;Le Lion-d'Angers;24.8
49180;Longué-Jumelles;19.5
49183;Le Louroux-Béconnais;24
49214;Montreuil-Juigné;22.1
49215;Montreuil-Bellay;20.3
49228;Noyant;20.4
49244;Mauges-sur-Loire;25.9
49248;Pouancé;23
49261;Les Rosiers-sur-Loire;24.8
49283;Saint-Georges-sur-Loire;29.2
49301;Sèvremoine;23.6
49313;Saint-Pierre-Montlimart;20.3
49323;Saint-Sylvain-d'Anjou;17.2
49328;Saumur;25.6
49331;Segré;18.8
49333;Seiches-sur-le-Loir;23.2
49345;Bellevigne-en-Layon;25.9
49347;Tiercé;21
49373;Lys-Haut-Layon;20.7
50003;Agon-Coutainville;28
50025;Avranches;20.1
50031;Barneville-Carteret;29.5
50074;Brécey;24.1
50076;Bréhal;27.3
50082;Bricquebec;24.3
50099;Carentan-les-Marais;26.8
50129;Cherbourg-en-Cotentin;20.8
50147;Coutances;22.4
50218;Granville;24.3
50236;La Haye;24.8
