Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
200057982;Paris Ouest La Défense;48.1
200057990;Boucle Nord de Seine;54.6
200058006;Grand Paris Sud Est Avenir;73.3
200058014;Grand-Orly Seine Bièvre;66
200058097;Paris Terres d'Envol;68.1
200058360;CC Entre Beauce et Perche;64.4
200058477;CA Val d'Yerres Val de Seine;82.9
200058485;CA Val Parisis;74.8
200058519;CA Saint Germain Boucles de Seine;67.6
200058782;CA de Saint Quentin en Yvelines;53.8
200058790;Grand Paris Grand Est;76.7
200059228;CA Grand Paris Sud Seine Essonne Sénart;61.3
200059392;CC Bièvre Isère;63.9
200059400;CC Porte Océane du Limousin;60.3
200059871;CC du Centre-Ouest;91.4
200059889;CU Grand Paris Seine et Oise;66.1
200060010;CA Mauges Communauté;52.7
200060457;CA de Dembeni / Mamoudzou;84.7
200060465;CA du Grand Nord de Mayotte;79.6
200060473;CC du Sud;93.5
200065563;CC Normandie-Cabourg-Pays d'Auge;74.2
200065589;CC Val ès Dunes;61.4
200065597;CU Caen la Mer;67.5
200065647;CA Pays de Montbéliard Agglomération;50.6
200065787;CC de Pont-Audemer / Val de Risle;68.3
200065886;Loire Forez Agglomération (LFA);64.4
200065894;CC de Forez-Est;57.7
200065928;CA Lannion-Trégor Communauté;70
200066009;CA Mulhouse Alsace Agglomération;65
200066017;CC Lieuvin Pays d'Auge;64.8
200066025;CC Alsace Rhin Brisach;37.3
200066033;CC Sud Alsace Largue;66.3
200066041;CC Sundgau;73.6
200066058;CA Saint-Louis Agglomération;61
200066108;CC des Portes de Meuse;46.4
200066116;CC Argonne-Meuse;55.5
200066124;CA Gaillac-Graulhet;63.6
200066132;CC du Pays de Stenay et du Val Dunois;59.2
200066140;CC de l'Aire à l'Argonne;51
200066157;CC de Commercy - Void - Vaucouleurs;59.9
200066165;CC Val de Meuse - Voie Sacrée;54.2
200066173;CC de Damvillers Spincourt;57.7
200066223;CC Arize Lèze;68.1
200066231;CC des Portes d'Ariège Pyrénées;67.7
200066280;CC du Pithiverais;53.6
200066322;CC Terres des Confluences;66.3
200066330;CC Terres du Haut Berry;53.5
200066348;CC du Minervois au Caroux;67
200066355;CA Sète Agglopôle Méditerranée;72.3
200066363;CC de la Haute Ariège;74.5
200066371;CC Causses et Vallée de la Dordogne;56.7
200066389;CA Saint-Lô Agglo;66.1
200066405;CC Roumois Seine;68.9
200066413;CC Intercom Bernay Terres de Normandie;63.3
200066462;CC Interco Normandie Sud Eure;63
200066512;CC Élan Limousin Avenir Nature;67.2
200066520;CC Ouest Limousin;57.3
200066553;CC du Haut-Languedoc;57.8
200066561;CC Sidobre Vals et Plateaux;54
200066587;CC des Monts du Lyonnais;59.2
200066603;CC du Pays de Lubersac-Pompadour;50
200066637;CC Hautes Terres;62
200066645;CC Vézère-Monédières-Millesources;70.7
200066652;CC Grand Sud Tarn-et-Garonne;57.7
200066660;CC de Saint-Flour;63.5
200066678;CC de la Châtaigneraie Cantalienne;56.9
200066710;CC Cingal-Suisse Normande;64.2
200066728;CC Vallées de l'Orne et de l'Odon;75.9
200066744;CC Haute-Corrèze Communauté;69.5
200066751;CC Xaintrie Val'Dordogne;63.2
200066769;CC Midi Corrézien;58.4
200066777;Ploërmel Communauté;55.7
200066785;CC de l'Oust à Brocéliande;48.9
200066793;CA du Grand Annecy;64.5
200066801;CC Isigny-Omaha Intercom;51.5
200066819;CC du Volvestre;69.3
200066827;CC du Pays de Honfleur-Beuzeville;64.4
200066835;CC de Sézanne-Sud Ouest Marnais;53.3
200066850;CC des Paysages de la Champagne;38.2
200066868;CC Presqu'île de Crozon-Aulne maritime;73.4
200066876;CA de Châlons-en-Champagne;72.3
200066884;CC Quercy Vert-Aveyron;74.2
200066892;CC de Vendeuvre-Soulaines;53.4
200066918;CA Alès Agglomération;73.8
200066926;CA Grand Auch Coeur de Gascogne;77.8
200066975;CC Senlis Sud Oise;59.8
200067023;CC Coutances Mer et Bocage;66
200067031;CC Côte Ouest Centre Manche;55.4
