Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
200067593;CC Marche et Combraille en Aquitaine;14
200067627;CC Billom Communauté;12.1
200067635;CA Clisson Sèvre et Maine Agglo;8.7
200067643;CC Meurthe Mortagne Moselle;15.4
200067650;CC Houve - Pays Boulageois;12.9
200067668;CC de la Cléry, du Betz et de l'Ouanne;20
200067676;CC Canaux et Forêts en Gâtinais;16.8
200067684;CA Epernay, Coteaux et Plaine de Champagne;17.6
200067692;CC Tannay-Brinon-Corbigny;20.4
200067700;CC Sud Nivernais;19
200067742;CC Serre-Ponçon;14.1
200067759;CC Vallées et Plateau d'Ardenne;21.4
200067767;CC du Royans-Vercors;16.5
200067783;CC de Hanau-La Petite Pierre;13.1
200067791;CA L'Agglo Foix-Varilhes;17
200067817;CC Saône-Beaujolais;11.7
200067825;CA Gap-Tallard-Durance;14.4
200067841;CC de l'Alsace Bossue;13.5
200067866;CC Sèvre et Loire;9.3
200067874;CA de Haguenau;13.6
200067882;CC Bazois Loire Morvan;13.8
200067890;CC Morvan Sommets et Grands Lacs;13.1
200067908;CC Amognes Coeur du Nivernais;12.6
200067916;CC Coeur de Loire;20.6
200067924;CC du Canton d'Erstein;11.6
200067932;CA Golfe du Morbihan - Vannes Agglomération;12
200067940;CC Couserans-Pyrénées;18
200067957;CC Haut Chemin - Pays de Pange;9.3
200067965;CA de la Région de Compiègne et de la Basse Automne;15.5
200067973;CC Thelloise;14.3
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;15.5
200067999;CA du Beauvaisis;18.2
200068005;CC de l'Oise Picarde;18.9
200068047;CA Creil Sud Oise;23.7
200068070;CC Loue-Lison;9.9
200068088;CC Les Bertranges;17.1
200068096;CC Champsaur-Valgaudemar;13.6
200068104;CA de la Provence Verte;16.2
200068112;CC du Pays de Saverne;13.3
200068120;CA Quimper Bretagne Occidentale;13.8
200068146;CC Sarrebourg Moselle Sud;13.8
200068229;CC des Baronnies en Drôme Provençale;20.4
200068278;CC Berry Loire Puisaye;17.1
200068294;CC des Deux Vallées Vertes;15.2
200068369;CC de Mirecourt Dompaire;14.3
200068377;CC de la Porte des Vosges Méridionales;15.5
200068435;CC Coeur du Perche;18
200068443;CC Andaine - Passais;15.2
200068450;Terres d'Argentan Interco;17.6
200068468;CC des Pays de L'Aigle;18.6
200068484;CC des Causses à l'Aubrac;9.3
200068500;CA de Cambrai;19.8
200068534;CC Terroir de Caux;13.9
200068542;CC Les Balcons du Dauphiné;12.2
200068559;CC de l'Ouest Vosgien;15.3
200068567;CC Les Vals du Dauphiné;13.5
200068625;CC Alpes-Provence-Verdon "Sources de lumière";15.6
200068641;CA Le Muretain Agglo;16.8
200068658;CA de Chaumont;14.2
200068666;CA du Grand Saint-Dizier Der et Vallées;19.3
200068674;CA Grand Lac;12.1
200068682;CC Terre d'Eau;16
200068757;CA d'Epinal;17.4
200068765;CC du Sisteronais-Buëch;17.9
200068773;CC des Vosges côté Sud Ouest;20
200068781;CA Valence Romans Agglo;15.5
200068799;CC Intercom de la Vire au Noireau;14.2
200068807;CC du Bassin Auterivain Haut-Garonnais;14.3
200068815;CC Coeur de Garonne;14.7
200068831;Pays Ségali Communauté;10.1
200068856;CC des Hauts du Perche;14.8
200068864;CC de la Mossig et du Vignoble;10.7
200068872;CC Éguzon - Argenton - Vallée de la Creuse;20
200068880;CC Champagne Boischauts;14.3
200068914;CC La Rochefoucauld Porte du Périgord;14.7
200068922;CC du Confluent et des Coteaux de Prayssas;17.8
200068930;CC Fumel Vallée du Lot;18.2
200068948;CC Albret Communauté;15.1
200068955;CC Anjou Loir et Sarthe;11.9
200068963;CC Maine Coeur de Sarthe;10.2
200068989;CA Dinan Agglomération;13.8
200068997;CA Arlysère;13.3
200069003;CC du Barséquanais en Champagne;17
200069029;CA des Deux Baies en Montreuillois;18.9
200069037;CA du Pays de Saint-Omer;20
200069052;CA Grand Belfort;15.6
200069060;CC des Vosges du Sud;13.3
200069086;CC Leff Armor Communauté;14.3
200069094;CC Isle et Crempse en Périgord;20.1
200069102;CC Randon - Margeride;16.1
200069110;CA du Grand Chambéry;12
200069128;CC Mont Lozère;14.1
200069136;CC des Cévennes au Mont Lozère;22
200069144;CC des Hautes Terres de l'Aubrac;9.4
200069151;CC Gorges Causses Cévennes;16.2
200069169;CC Dômes Sancy Artense;8.6
200069177;CC Mond'Arverne Communauté;9.8
200069185;CC des Terres d'Apcher-Margeride-Aubrac;10
200069193;CC de la Dombes;11.1
200069227;CC Pays Fort Sancerrois Val de Loire;15.3
200069235;CC du Haut Pays du Montreuillois;15.5
200069250;CA Troyes Champagne Métropole;17.3
200069268;CC Aubrac Lot Causses Tarn;13.2
200069300;CA Tarbes-Lourdes-Pyrénées;15.9
200069383;Ouest Aveyron Communauté;17.9
200069391;CA Lamballe Terre et Mer;11.2
200069409;CA Saint-Brieuc Armor Agglomération;13.9
200069417;CC Pays d'Orthe et Arrigans;15.9
200069425;CA Mont-Saint-Michel-Normandie;12.4
200069433;CC de Vezouze en Piémont;19
200069441;CC du Pays de Bitche;10.8
200069458;CC des Vallées d'Auge et du Merlerault;18
200069482;CC des Campagnes de l'Artois;12.6
200069516;CC Seulles Terre et Mer;12.2
200069524;CC Pré-Bocage Intercom;12.3
200069532;CA Lisieux Normandie;16.4
200069540;CC Norge et Tille;7.7
200069565;CC des Lacs et Montagnes du Haut-Doubs;8.3
200069581;CC Convergence Garonne;15.2
200069599;CC Rurales de l'Entre-Deux-Mers;14
200069615;CC Bresse Haute Seille;10
200069623;CC Champagnole Nozeroy Jura;12.2
200069631;CC Terres de Chalosse;15.2
200069649;CC Chalosse Tursan;15.3
200069656;CC Coeur Haute Lande;17
200069664;CC Meuse Rognon;14.7
200069672;CC du Ternois;19.9
200069698;CC Mâconnais - Tournugeois;14.2
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;16.8
200069730;CC des Quatre Rivières en Bray;18.1
200069748;CC Val de Gâtine;11.7
200069755;CC Mellois en Poitou;15.5
200069763;CC du Haut Poitou;12.7
200069821;CA Fécamp Caux Littoral Agglomération;20.1
200069839;CC de la Côte d'Albâtre;16.3
200069847;CC Plateau de Caux;15.8
200069854;CU du Grand Poitiers;12.3
200069912;CC des Forêts du Perche;16.9
200069953;CC des Portes Euréliennes d'Ile de France;13.3
200069961;CC du Grand Châteaudun;21.3
200069995;CC Médoc Coeur de Presqu'île;21.1
200070035;CC du Civraisien en Poitou;16.6
200070043;CC Vienne et Gartempe;14.7
200070068;CC Bray-Eawy;15.4
200070092;CA du Libournais;20.2
200070100;CC du Val de Sully;18.1
200070118;CC Val de Saône Centre;11.5
200070126;CC Seine et Aube;15.5
200070142;CC Lyons Andelle;14.9
200070159;CC Coeur de Beauce;13.7
200070167;CC Terres de Perche;16.2
200070183;CC des Terres du Val de Loire;11.8
200070233;CA Terres de Montaigu;8.6
200070282;CC Lavalette Tude Dronne;18.9
200070290;CC Coeur du Pays Haut;16.3
200070308;CA Mâconnais Beaujolais Agglomération;15.9
200070316;CC Entre Arroux, Loire et Somme;15
200070324;CC du Territoire de Lunéville à Baccarat;17.3
200070332;CC des Savoir-Faire;17.4
200070340;CC Haute Maurienne Vanoise;10
200070365;CC Corbières Salanque Méditerranée;21.8
200070373;CC Loir-Lucé-Bercé;18.1
200070407;CA Agglo Pays d'Issoire;14.8
200070431;CC Saint-Marcellin Vercors Isère Communauté;13.4
200070449;CC Inter-Caux-Vexin;10.5
200070464;CC Coeur de Maurienne Arvan;10.3
200070506;CC Pays de Nexon Monts de Chalus;14
200070514;CA du Grand Cognac;15.3
200070530;CC du Grand Autunois Morvan;17.6
200070548;CC Brionnais Sud Bourgogne;13.1
200070555;CC de la Veyle;9.6
200070563;CC Terres Touloises;18
200070571;CC Coeur de Berry;14.3
200070589;CC de Seille et Grand Couronné;12.1
200070647;CA Bergeracoise;17.7
200070662;CC Bretagne Porte de Loire Communauté;10.7
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;14.4
200070688;CC Couesnon Marches de Bretagne;10.9
200070712;CC Thiers Dore et Montagne;16.4
200070720;CC Médoc Atlantique;19.8
200070738;CC Mad et Moselle;12
200070746;CA Sarreguemines Confluences;16.8
200070753;CA Riom Limagne et Volcans;14
200070761;CC Ambert Livradois Forez;16.7
200070779;CC Brie des Rivières et Châteaux;13
200070787;CC du Plateau de Lannemezan;17.4
200070795;CC du Pays de Trie et du Magnoac;14
200070803;CC des Coteaux du Val d'Arros;11.7
200070811;CC Pyrénées Vallées des Gaves;14.1
200070829;CC Neste Barousse;16.6
