Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200067429;CC Haut Nivernais - Val d'Yonne;81.7
200067437;CA Provence-Alpes-Agglomération;81.6
200067445;CC Buëch-Dévoluy;82.1
200067452;CC du Guillestrois et du Queyras;74.4
200067460;CC Loudéac Communauté - Bretagne Centre;84.8
200067478;CC Comtal Lot et Truyère;84.6
200067486;CC Bouzonvillois-Trois Frontières;92.2
200067502;CA Saint-Avold Synergie;88.5
200067544;CC Creuse Confluence;80.9
200067551;CA Thonon Agglomération;73
200067593;CC Marche et Combraille en Aquitaine;78.2
200067627;CC Billom Communauté;88
200067635;CA Clisson Sèvre et Maine Agglo;82.7
200067643;CC Meurthe Mortagne Moselle;86.1
200067650;CC Houve - Pays Boulageois;92.2
200067668;CC de la Cléry, du Betz et de l'Ouanne;85.4
200067676;CC Canaux et Forêts en Gâtinais;86
200067684;CA Epernay, Coteaux et Plaine de Champagne;77.2
200067692;CC Tannay-Brinon-Corbigny;82.1
200067700;CC Sud Nivernais;83.4
200067742;CC Serre-Ponçon;76.6
200067759;CC Vallées et Plateau d'Ardenne;87.3
200067767;CC du Royans-Vercors;79.1
200067783;CC de Hanau-La Petite Pierre;82
200067791;CA L'Agglo Foix-Varilhes;83.6
200067817;CC Saône-Beaujolais;81.6
200067825;CA Gap-Tallard-Durance;71.6
200067841;CC de l'Alsace Bossue;86.3
200067866;CC Sèvre et Loire;86.2
200067874;CA de Haguenau;78
200067882;CC Bazois Loire Morvan;74.7
200067890;CC Morvan Sommets et Grands Lacs;72.1
200067908;CC Amognes Coeur du Nivernais;85.2
200067916;CC Coeur de Loire;82.4
200067924;CC du Canton d'Erstein;82.6
200067932;CA Golfe du Morbihan - Vannes Agglomération;80.6
200067940;CC Couserans-Pyrénées;80.6
200067957;CC Haut Chemin - Pays de Pange;90.5
200067965;CA de la Région de Compiègne et de la Basse Automne;73.9
200067973;CC Thelloise;81.5
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;82.9
200067999;CA du Beauvaisis;78.7
200068005;CC de l'Oise Picarde;87.2
200068047;CA Creil Sud Oise;64.2
200068070;CC Loue-Lison;84
200068088;CC Les Bertranges;87.1
200068096;CC Champsaur-Valgaudemar;81.8
200068104;CA de la Provence Verte;86.4
200068112;CC du Pays de Saverne;76.7
200068120;CA Quimper Bretagne Occidentale;82.6
200068146;CC Sarrebourg Moselle Sud;83.3
200068229;CC des Baronnies en Drôme Provençale;72.8
200068278;CC Berry Loire Puisaye;84.7
200068294;CC des Deux Vallées Vertes;85.5
200068369;CC de Mirecourt Dompaire;86.1
200068377;CC de la Porte des Vosges Méridionales;82.4
200068435;CC Coeur du Perche;81.6
200068443;CC Andaine - Passais;83.7
200068450;Terres d'Argentan Interco;81.1
200068468;CC des Pays de L'Aigle;83.4
200068484;CC des Causses à l'Aubrac;83
200068500;CA de Cambrai;84.5
200068534;CC Terroir de Caux;88
200068542;CC Les Balcons du Dauphiné;90.4
200068559;CC de l'Ouest Vosgien;83.9
200068567;CC Les Vals du Dauphiné;85.4
200068625;CC Alpes-Provence-Verdon "Sources de lumière";70.5
200068641;CA Le Muretain Agglo;85.6
200068658;CA de Chaumont;76.2
200068666;CA du Grand Saint-Dizier Der et Vallées;82.4
200068674;CA Grand Lac;81.1
200068682;CC Terre d'Eau;84.5
200068757;CA d'Epinal;82.4
200068765;CC du Sisteronais-Buëch;78.6
200068773;CC des Vosges côté Sud Ouest;81.6
200068781;CA Valence Romans Agglo;77.8
200068799;CC Intercom de la Vire au Noireau;85.1
200068807;CC du Bassin Auterivain Haut-Garonnais;85.8
200068815;CC Coeur de Garonne;86.7
200068831;Pays Ségali Communauté;85.1
200068856;CC des Hauts du Perche;80.7
