Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
200067171;CC Aubrac Carladez Viadène;34.8
200067189;CC Creuse Sud Ouest;53.2
200067197;CC Monts d'Arrée Communauté;30.9
200067205;CA du Cotentin;7.7
200067213;CU du Grand Reims;18
200067239;CC des Luys en Béarn;14.9
200067247;CC Pleyben-Châteaulin-Porzay;12.3
200067254;CA Pau Béarn Pyrénées;22.8
200067262;CC du Haut Béarn;68.3
200067288;CC du Béarn des Gaves;25.7
200067296;CC du Nord Est Béarn;13.6
200067304;CC Serein et Armance;28.9
200067320;CC Serre-Ponçon Val d'Avance;62.8
200067346;CA Pornic Agglo Pays de Retz;2.9
200067361;CC Grand-Figeac;46.8
200067379;CC Côtes de Champagne et Val de Saulx;21.5
200067429;CC Haut Nivernais - Val d'Yonne;40.4
200067437;CA Provence-Alpes-Agglomération;79.8
200067445;CC Buëch-Dévoluy;81.7
200067452;CC du Guillestrois et du Queyras;94.9
200067460;CC Loudéac Communauté - Bretagne Centre;9.7
200067478;CC Comtal Lot et Truyère;39.9
200067486;CC Bouzonvillois-Trois Frontières;28
200067502;CA Saint-Avold Synergie;21.1
200067544;CC Creuse Confluence;14
200067551;CA Thonon Agglomération;36.8
200067593;CC Marche et Combraille en Aquitaine;21.2
200067627;CC Billom Communauté;21.4
200067635;CA Clisson Sèvre et Maine Agglo;2.2
200067643;CC Meurthe Mortagne Moselle;25.3
200067650;CC Houve - Pays Boulageois;18.1
200067668;CC de la Cléry, du Betz et de l'Ouanne;15.8
200067676;CC Canaux et Forêts en Gâtinais;22.8
200067684;CA Epernay, Coteaux et Plaine de Champagne;17.5
200067692;CC Tannay-Brinon-Corbigny;27.7
200067700;CC Sud Nivernais;29.3
200067742;CC Serre-Ponçon;79.6
200067759;CC Vallées et Plateau d'Ardenne;64.3
200067767;CC du Royans-Vercors;77.5
200067783;CC de Hanau-La Petite Pierre;57.4
200067791;CA L'Agglo Foix-Varilhes;61.3
200067817;CC Saône-Beaujolais;33.1
200067825;CA Gap-Tallard-Durance;52.7
200067841;CC de l'Alsace Bossue;23.1
200067866;CC Sèvre et Loire;1.6
200067874;CA de Haguenau;45.9
200067882;CC Bazois Loire Morvan;29.7
200067890;CC Morvan Sommets et Grands Lacs;53.4
200067908;CC Amognes Coeur du Nivernais;33
200067916;CC Coeur de Loire;25.4
200067924;CC du Canton d'Erstein;24.5
200067932;CA Golfe du Morbihan - Vannes Agglomération;17
200067940;CC Couserans-Pyrénées;73.7
200067957;CC Haut Chemin - Pays de Pange;26.1
200067965;CA de la Région de Compiègne et de la Basse Automne;53
200067973;CC Thelloise;22
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;11.6
200067999;CA du Beauvaisis;19.7
200068005;CC de l'Oise Picarde;8.2
200068047;CA Creil Sud Oise;29.5
200068070;CC Loue-Lison;52.3
200068088;CC Les Bertranges;46.6
200068096;CC Champsaur-Valgaudemar;81.8
